Item_Fat_Content	Item_Identifier	Item_Type	Outlet_Establishment_Year	Outlet_Identifier	Outlet_Location_Type	Outlet_Size	Outlet_Type	Item_Visibility	Item_Weight	Sales	Rating
Low Fat	FDV36	Baking Goods	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0264508	18.7	124.902	4
Low Fat	FDP38	Canned	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0322837	10.1	52.2008	4
Low Fat	FDX37	Canned	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0633859	16.2	98.17	4
Low Fat	DRG15	Dairy	2020	OUT017	Tier 2	Small	Supermarket Type1	0.07717	6.13	63.0536	4
Low Fat	FDD53	Frozen Foods	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0444726	16.2	43.3454	4
Low Fat	FDV40	Frozen Foods	2020	OUT017	Tier 2	Small	Supermarket Type1	0	17.35	72.2038	4
Low Fat	FDS55	Fruits and Vegetables	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0816233	7.02	148.073	4
Low Fat	FDV32	Fruits and Vegetables	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0892102	7.785	64.251	4
Low Fat	FDG45	Fruits and Vegetables	2020	OUT017	Tier 2	Small	Supermarket Type1	0.12876	8.1	213.79	4
Low Fat	FDS20	Fruits and Vegetables	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0541716	8.85	183.929	4
Low Fat	FDE32	Fruits and Vegetables	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0490347	20.7	39.9506	4
Low Fat	DRH23	Hard Drinks	2020	OUT017	Tier 2	Small	Supermarket Type1	0.171282	14.65	54.0614	4
Low Fat	DRI23	Hard Drinks	2020	OUT017	Tier 2	Small	Supermarket Type1	0.137973	18.85	158.458	4
Low Fat	NCU17	Health and Hygiene	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0934087	5.32	101.267	4
Low Fat	NCO05	Health and Hygiene	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0468228	7.27	99.3384	4
Low Fat	NCM17	Health and Hygiene	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0715382	7.93	44.5086	4
Low Fat	NCO53	Health and Hygiene	2020	OUT017	Tier 2	Small	Supermarket Type1	0.176175	16.2	184.061	4
Low Fat	NCR41	Health and Hygiene	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0181259	17.85	94.9094	4
Low Fat	NCU42	Household	2020	OUT017	Tier 2	Small	Supermarket Type1	0.019617	9	169.647	4
Low Fat	NCZ42	Household	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0113518	10.5	236.525	4
Low Fat	NCV06	Household	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0670585	11.3	194.048	4
Low Fat	NCM30	Household	2020	OUT017	Tier 2	High	Supermarket Type1	0.0676761	19.1	40.8796	4
Low Fat	FDK43	Meat	2020	OUT017	Tier 2	High	Supermarket Type1	0.0269926	9.8	127.302	4
Low Fat	FDT21	Snack Foods	2020	OUT017	Tier 2	High	Supermarket Type1	0.0205072	7.42	249.709	4
Low Fat	FDW34	Snack Foods	2020	OUT017	Tier 2	High	Supermarket Type1	0.0357804	9.6	241.317	4
Low Fat	FDQ34	Snack Foods	2020	OUT017	Tier 2	High	Supermarket Type1	0.16316	10.85	107.462	4
Low Fat	FDK34	Snack Foods	2020	OUT017	Tier 2	High	Supermarket Type1	0.0387446	13.35	239.356	4
Low Fat	FDL45	Snack Foods	2020	OUT017	Tier 2	High	Supermarket Type1	0.037901	15.6	124.17	4
Low Fat	FDM33	Snack Foods	2020	OUT017	Tier 2	High	Supermarket Type1	0.0882159	15.6	220.18	4
Low Fat	DRD37	Soft Drinks	2020	OUT017	Tier 2	High	Supermarket Type1	0.01392	9.8	45.006	4
Low Fat	DRK13	Soft Drinks	2020	OUT017	Tier 2	High	Supermarket Type1	0.115819	11.8	198.308	4
Low Fat	DRF13	Soft Drinks	2020	OUT017	Tier 2	High	Supermarket Type1	0.0299498	12.1	146.344	4
Low Fat	DRB25	Soft Drinks	2020	OUT017	Tier 2	High	Supermarket Type1	0.0698526	12.3	107.494	4
Low Fat	DRJ13	Soft Drinks	2020	OUT017	Tier 2	High	Supermarket Type1	0.063246	12.65	159.258	4
Low Fat	DRG13	Soft Drinks	2020	OUT017	Tier 2	High	Supermarket Type1	0.0373965	17.25	165.653	4
low fat	FDG26	Canned	2015	OUT045	Tier 2	Medium	Supermarket Type1	0.0427363	18.85	255.933	4
low fat	FDI19	Meat	2015	OUT045	Tier 2	Medium	Supermarket Type1	0	15.1	244.251	4
Low Fat	FDV59	Breads	2017	OUT035	Tier 2	Small	Supermarket Type1	0.048018	13.35	219.617	4
Low Fat	FDV47	Breads	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0541973	17.1	83.5566	4
Low Fat	FDW49	Canned	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0825366	19.5	177.2	4
Low Fat	FDY50	Dairy	2017	OUT035	Tier 2	Small	Supermarket Type1	0.130931	5.8	89.9172	4
Low Fat	DRG15	Dairy	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0767214	6.13	59.4536	4
Low Fat	FDB15	Dairy	2017	OUT035	Tier 2	Small	Supermarket Type1	0.136785	10.895	265.257	4
Low Fat	FDW50	Dairy	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0755638	13.1	168.116	4
Low Fat	FDA50	Dairy	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0871587	16.25	95.141	4
Low Fat	FDN40	Frozen Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0864404	5.88	155.4	4
Low Fat	FDS52	Frozen Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	0.00547348	8.89	100.502	4
Low Fat	FDB08	Fruits and Vegetables	2017	OUT035	Tier 2	Small	Supermarket Type1	0	6.055	162.358	4
Low Fat	FDO32	Fruits and Vegetables	2017	OUT035	Tier 2	Small	Supermarket Type1	0.120521	6.36	45.906	4
Low Fat	FDC56	Fruits and Vegetables	2017	OUT035	Tier 2	Small	Supermarket Type1	0.121498	7.72	119.744	4
Low Fat	FDD08	Fruits and Vegetables	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0353477	8.3	38.0506	4
Low Fat	FDC20	Fruits and Vegetables	2017	OUT035	Tier 2	Small	Supermarket Type1	0	10.65	57.1272	4
Low Fat	FDL08	Fruits and Vegetables	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0497096	10.8	246.814	4
Low Fat	FDS43	Fruits and Vegetables	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0405072	11.65	186.924	4
Low Fat	FDT08	Fruits and Vegetables	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0492092	13.65	150.005	4
Low Fat	DRQ35	Hard Drinks	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0422835	9.3	125.439	4
Low Fat	DRP35	Hard Drinks	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0908501	18.85	126.634	4
Low Fat	NCM05	Health and Hygiene	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0598357	6.825	264.323	4
Low Fat	NCX05	Health and Hygiene	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0970437	15.2	116.849	4
Low Fat	NCW41	Health and Hygiene	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0154475	18	159.26	4
Low Fat	NCV18	Household	2017	OUT035	Tier 2	Small	Supermarket Type1	0.105226	6.775	84.225	4
Low Fat	NCS06	Household	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0317307	7.935	261.091	4
Low Fat	NCN18	Household	2017	OUT035	Tier 2	Small	Supermarket Type1	0	8.895	111.954	4
Low Fat	NCU42	Household	2017	OUT035	Tier 2	Small	Supermarket Type1	0.019503	9	169.447	4
Low Fat	NCN30	Household	2017	OUT035	Tier 2	Small	Supermarket Type1	0.01699	16.35	98.541	4
Low Fat	NCL18	Household	2017	OUT035	Tier 2	Small	Supermarket Type1	0.167552	18.85	193.114	4
Low Fat	FDK55	Meat	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0257568	18.5	87.2172	4
Low Fat	FDN27	Meat	2017	OUT035	Tier 2	Small	Supermarket Type1	0.039555	20.85	116.881	4
Low Fat	FDJ45	Seafood	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0733968	17.75	35.1216	4
Low Fat	FDT21	Snack Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	0.020388	7.42	247.109	4
Low Fat	FDC58	Snack Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0419344	10.195	44.6428	4
Low Fat	FDH33	Snack Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	0.121702	12.85	42.7428	4
Low Fat	FDE46	Snack Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0157667	18.6	152.937	4
Low Fat	FDO58	Snack Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0395697	19.6	165.953	4
Low Fat	DRJ13	Soft Drinks	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0628784	12.65	160.958	4
Low Fat	DRI49	Soft Drinks	2017	OUT035	Tier 2	Small	Supermarket Type1	0.183473	14.15	82.0276	4
Low Fat	DRH25	Soft Drinks	2017	OUT035	Tier 2	Small	Supermarket Type1	0	18.7	52.2324	4
low fat	DRN37	Soft Drinks	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0962792	9.6	167.316	4
Low Fat	FDN12	Baking Goods	2011	OUT010	Tier 3	Medium	Grocery Store	0.135751	15.6	111.554	4
Low Fat	FDO60	Baking Goods	2011	OUT010	Tier 3	Medium	Grocery Store	0.0575275	20	43.1086	4
Low Fat	FDP11	Breads	2011	OUT010	Tier 3	Medium	Grocery Store	0.11566	15.85	218.317	4
Low Fat	FDT04	Frozen Foods	2011	OUT010	Tier 3	Medium	Grocery Store	0	17.25	37.5822	4
Low Fat	FDG45	Fruits and Vegetables	2011	OUT010	Tier 3	Medium	Grocery Store	0.214306	8.1	213.99	4
Low Fat	FDA32	Fruits and Vegetables	2011	OUT010	Tier 3	Medium	Grocery Store	0.0503715	14	214.719	4
Low Fat	FDR43	Fruits and Vegetables	2011	OUT010	Tier 3	Medium	Grocery Store	0.2703	18.2	38.319	4
Low Fat	FDB32	Fruits and Vegetables	2011	OUT010	Tier 3	Medium	Grocery Store	0.0392554	20.6	94.4778	4
Low Fat	DRG11	Hard Drinks	2011	OUT010	Tier 3	Medium	Grocery Store	0.140328	6.385	109.16	4
Low Fat	NCN41	Health and Hygiene	2011	OUT010	Tier 3	Medium	Grocery Store	0.0873877	17	125.073	4
Low Fat	NCP02	Household	2011	OUT010	Tier 3	Medium	Grocery Store	0.0750007	7.105	61.0562	4
Low Fat	NCT30	Household	2011	OUT010	Tier 3	Medium	Grocery Store	0.134394	9.1	48.0718	4
Low Fat	NCR42	Household	2011	OUT010	Tier 3	Medium	Grocery Store	0.0644108	9.105	33.39	4
Low Fat	NCE43	Household	2011	OUT010	Tier 3	Medium	Grocery Store	0.173141	12.5	168.445	4
Low Fat	NCD55	Household	2011	OUT010	Tier 3	Medium	Grocery Store	0.0407254	14	43.4454	4
Low Fat	FDR46	Snack Foods	2011	OUT010	Tier 3	High	Grocery Store	0.233357	16.85	146.576	4
Low Fat	FDH35	Starchy Foods	2011	OUT010	Tier 3	High	Grocery Store	0.100844	18.25	166.353	4
Low Fat	FDR48	Baking Goods	2014	OUT013	Tier 3	High	Supermarket Type1	0.131395	11.65	151.902	4
Low Fat	FDW47	Breads	2014	OUT013	Tier 3	High	Supermarket Type1	0.0463366	15	120.041	4
Low Fat	FDP37	Breakfast	2014	OUT013	Tier 3	High	Supermarket Type1	0.142987	15.6	130.399	4
Low Fat	FDG50	Canned	2014	OUT013	Tier 3	High	Supermarket Type1	0.0152591	7.405	91.0146	4
Low Fat	FDT37	Canned	2014	OUT013	Tier 3	High	Supermarket Type1	0.0352408	14.15	255.501	4
Low Fat	FDA13	Canned	2014	OUT013	Tier 3	High	Supermarket Type1	0.0784896	15.85	39.9506	4
Low Fat	FDP26	Dairy	2014	OUT013	Tier 3	High	Supermarket Type1	0.139437	7.785	103.031	4
Low Fat	FDZ15	Dairy	2014	OUT013	Tier 3	High	Supermarket Type1	0.0208534	13.1	117.478	4
Low Fat	FDD03	Dairy	2014	OUT013	Tier 3	High	Supermarket Type1	0.0797399	13.3	233.03	4
Low Fat	DRF03	Dairy	2014	OUT013	Tier 3	High	Supermarket Type1	0.0452704	19.1	38.8138	4
Low Fat	FDH16	Frozen Foods	2014	OUT013	Tier 3	High	Supermarket Type1	0.0525116	10.5	90.783	4
Low Fat	FDD29	Frozen Foods	2014	OUT013	Tier 3	High	Supermarket Type1	0.0183952	12.15	251.67	4
Low Fat	FDL40	Frozen Foods	2014	OUT013	Tier 3	High	Supermarket Type1	0.0116035	17.7	97.741	4
Low Fat	FDY31	Fruits and Vegetables	2014	OUT013	Tier 3	High	Supermarket Type1	0.0435266	5.98	148.442	4
Low Fat	FDO32	Fruits and Vegetables	2014	OUT013	Tier 3	High	Supermarket Type1	0.120443	6.36	45.406	4
Low Fat	FDG32	Fruits and Vegetables	2014	OUT013	Tier 3	High	Supermarket Type1	0.175849	19.85	222.077	4
Low Fat	NCP29	Health and Hygiene	2014	OUT013	Tier 3	High	Supermarket Type1	0.112178	8.42	65.9168	4
Low Fat	NCS29	Health and Hygiene	2014	OUT013	Tier 3	High	Supermarket Type1	0.0694876	9	266.688	4
Low Fat	NCB06	Health and Hygiene	2014	OUT013	Tier 3	High	Supermarket Type1	0.0822636	17.6	160.492	4
Low Fat	NCQ53	Health and Hygiene	2014	OUT013	Tier 3	High	Supermarket Type1	0.0188896	17.6	236.259	4
Low Fat	NCW53	Health and Hygiene	2014	OUT013	Tier 3	High	Supermarket Type1	0.0304697	18.35	191.316	4
Low Fat	NCZ30	Household	2014	OUT013	Tier 3	High	Supermarket Type1	0.0261632	6.59	121.51	4
Low Fat	NCA29	Household	2014	OUT013	Tier 3	High	Supermarket Type1	0.0272537	10.5	170.911	4
Low Fat	NCN26	Household	2014	OUT013	Tier 3	High	Supermarket Type1	0	10.85	119.081	4
Low Fat	NCJ18	Household	2014	OUT013	Tier 3	High	Supermarket Type1	0.163806	12.35	117.612	4
Low Fat	NCS18	Household	2014	OUT013	Tier 3	High	Supermarket Type1	0.042176	12.65	106.494	4
Low Fat	NCG06	Household	2014	OUT013	Tier 3	High	Supermarket Type1	0.0294209	16.35	256.965	4
Low Fat	NCX30	Household	2014	OUT013	Tier 3	High	Supermarket Type1	0.0265985	16.7	245.878	4
Low Fat	NCT06	Household	2014	OUT013	Tier 3	High	Supermarket Type1	0.0387053	17.1	165.084	4
Low Fat	NCF18	Household	2014	OUT013	Tier 3	High	Supermarket Type1	0.0889085	18.35	192.85	4
Low Fat	NCB18	Household	2014	OUT013	Tier 3	High	Supermarket Type1	0.0412568	19.6	88.8514	4
Low Fat	NCJ06	Household	2014	OUT013	Tier 3	High	Supermarket Type1	0.0346238	20.1	118.978	4
Low Fat	NCA06	Household	2014	OUT013	Tier 3	High	Supermarket Type1	0.143164	20.5	34.919	4
Low Fat	NCE42	Household	2014	OUT013	Tier 3	High	Supermarket Type1	0.0105935	21.1	234.296	4
Low Fat	NCP55	Others	2014	OUT013	Tier 3	High	Supermarket Type1	0.0111807	14.65	53.8614	4
Low Fat	FDI57	Seafood	2014	OUT013	Tier 3	High	Supermarket Type1	0.0539807	19.85	196.877	4
Low Fat	FDZ33	Snack Foods	2014	OUT013	Tier 3	High	Supermarket Type1	0.107308	10.195	149.808	4
Low Fat	FDT45	Snack Foods	2014	OUT013	Tier 3	High	Supermarket Type1	0	15.85	55.1956	4
Low Fat	FDV46	Snack Foods	2014	OUT013	Tier 3	High	Supermarket Type1	0.0125974	18.2	141.218	4
Low Fat	FDM10	Snack Foods	2014	OUT013	Tier 3	High	Supermarket Type1	0.0759084	18.25	213.422	4
Low Fat	DRD37	Soft Drinks	2014	OUT013	Tier 3	High	Supermarket Type1	0.0138302	9.8	45.306	4
Low Fat	DRG01	Soft Drinks	2014	OUT013	Tier 3	High	Supermarket Type1	0.0448409	14.8	78.367	4
Low Fat	FDF35	Starchy Foods	2014	OUT013	Tier 3	High	Supermarket Type1	0.153861	15	108.594	4
Low Fat	FDH48	Baking Goods	2022	OUT018	Tier 3	Medium	Supermarket Type2	0	13.5	84.554	4
Low Fat	FDL36	Baking Goods	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0763854	15.1	88.483	4
Low Fat	FDZ48	Baking Goods	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0762691	17.75	113.154	4
Low Fat	FDO60	Baking Goods	2022	OUT018	Tier 3	Medium	Supermarket Type2	0	20	43.4086	4
Low Fat	FDK38	Canned	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.053507	6.65	150.073	4
Low Fat	DRG27	Dairy	2022	OUT018	Tier 3	Medium	Supermarket Type2	0	8.895	42.0138	4
Low Fat	DRF27	Dairy	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.028533	8.93	151.434	4
Low Fat	FDB15	Dairy	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.137368	10.895	264.357	4
Low Fat	DRE03	Dairy	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0243256	19.6	48.5718	4
Low Fat	FDL16	Frozen Foods	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.169139	12.85	46.406	4
Low Fat	FDF05	Frozen Foods	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0269804	17.5	262.591	4
Low Fat	FDB21	Fruits and Vegetables	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.149126	7.475	241.685	4
Low Fat	FDD09	Fruits and Vegetables	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.021584	13.5	179.598	4
Low Fat	FDG57	Fruits and Vegetables	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0725929	14.7	48.5034	4
Low Fat	FDX19	Fruits and Vegetables	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0971279	19.1	234.496	4
Low Fat	DRQ35	Hard Drinks	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0424637	9.3	121.939	4
Low Fat	NCP29	Health and Hygiene	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.112728	8.42	65.8168	4
Low Fat	NCR53	Health and Hygiene	2022	OUT018	Tier 3	Medium	Supermarket Type2	0	12.15	224.44	4
Low Fat	NCQ53	Health and Hygiene	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0189823	17.6	237.059	4
Low Fat	NCT42	Household	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0249887	5.88	150.339	4
Low Fat	NCT30	Household	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.08062	9.1	47.4718	4
Low Fat	NCI06	Household	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0479121	11.3	179.866	4
Low Fat	NCK30	Household	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.061227	14.85	253.07	4
Low Fat	NCW06	Household	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0505455	16.2	191.616	4
Low Fat	NCI42	Household	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0104078	18.75	209.495	4
Low Fat	NCV30	Household	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0662007	20.2	61.451	4
Low Fat	NCP06	Household	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0394057	20.7	149.837	4
Low Fat	FDN15	Meat	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0168022	17.5	138.518	4
Low Fat	NCN19	Others	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0121488	13.1	191.353	4
Low Fat	FDX21	Snack Foods	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0853121	7.05	107.491	4
Low Fat	FDT58	Snack Foods	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0863049	9	168.082	4
Low Fat	FDT22	Snack Foods	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.112554	10.395	59.022	4
Low Fat	FDY45	Snack Foods	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0262486	17.5	255.136	4
Low Fat	FDU34	Snack Foods	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0755012	18.25	123.105	4
Low Fat	FDN21	Snack Foods	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0771687	18.6	160.624	4
Low Fat	FDO58	Snack Foods	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0397384	19.6	163.753	4
Low Fat	DRG49	Soft Drinks	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0677301	7.81	242.649	4
Low Fat	DRE48	Soft Drinks	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0173963	8.43	196.077	4
Low Fat	DRI49	Soft Drinks	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.184255	14.15	82.4276	4
Low Fat	DRD13	Soft Drinks	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0492794	15	65.7168	4
Low Fat	DRI37	Soft Drinks	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.108036	15.85	57.3904	4
Low Fat	DRG13	Soft Drinks	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0373376	17.25	163.753	4
low fat	DRJ01	Soft Drinks	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.115501	6.135	161.124	4
Low Fat	FDE24	Baking Goods	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.09301	NULL	143.081	4
Low Fat	FDJ48	Baking Goods	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0561615	NULL	246.912	4
Low Fat	FDO60	Baking Goods	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0342031	NULL	43.3086	4
Low Fat	FDR48	Baking Goods	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.130867	NULL	150.802	4
Low Fat	FDA13	Canned	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0781745	NULL	39.9506	4
Low Fat	FDF50	Canned	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.116762	NULL	198.977	4
Low Fat	FDN02	Canned	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0734702	NULL	205.364	4
Low Fat	DRE15	Dairy	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0176993	NULL	74.2012	4
Low Fat	DRF27	Dairy	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0282797	NULL	152.234	4
Low Fat	FDC17	Frozen Foods	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0153859	NULL	208.993	4
Low Fat	FDH41	Frozen Foods	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0816144	NULL	214.753	4
Low Fat	FDX28	Frozen Foods	2018	OUT027	Tier 3	Medium	Supermarket Type3	0	NULL	100.704	4
Low Fat	FDB08	Fruits and Vegetables	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0309527	NULL	160.158	4
Low Fat	FDC32	Fruits and Vegetables	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0986291	NULL	90.6462	4
Low Fat	FDC44	Fruits and Vegetables	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.171761	NULL	115.752	4
Low Fat	FDD08	Fruits and Vegetables	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0351832	NULL	37.8506	4
Low Fat	FDD20	Fruits and Vegetables	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0206142	NULL	126.405	4
Low Fat	FDE08	Fruits and Vegetables	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0490809	NULL	147.773	4
Low Fat	FDE57	Fruits and Vegetables	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0361094	NULL	140.615	4
Low Fat	FDL20	Fruits and Vegetables	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.127793	NULL	111.189	4
Low Fat	FDN20	Fruits and Vegetables	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0260551	NULL	169.547	4
Low Fat	DRK59	Hard Drinks	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0750845	NULL	233.962	4
Low Fat	NCQ17	Health and Hygiene	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.116366	NULL	158.363	4
Low Fat	NCQ41	Health and Hygiene	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0193861	NULL	194.579	4
Low Fat	NCC18	Household	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.176412	NULL	173.242	4
Low Fat	NCH55	Household	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0345044	NULL	125.202	4
Low Fat	NCL54	Household	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0823531	NULL	176.905	4
Low Fat	NCO14	Household	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0295003	NULL	46.2086	4
Low Fat	NCX54	Household	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0478271	NULL	105.362	4
Low Fat	FDI19	Meat	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0520856	NULL	242.851	4
Low Fat	FDL43	Meat	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0269333	NULL	78.467	4
Low Fat	FDN15	Meat	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.016653	NULL	139.518	4
Low Fat	FDP15	Meat	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0835361	NULL	255.433	4
Low Fat	FDQ39	Meat	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0806497	NULL	189.985	4
Low Fat	FDT03	Meat	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.00995034	NULL	185.561	4
Low Fat	FDV51	Meat	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0323813	NULL	166.184	4
Low Fat	FDY51	Meat	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0807419	NULL	220.88	4
Low Fat	NCM43	Others	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0193811	NULL	164.321	4
Low Fat	FDP33	Snack Foods	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0888399	NULL	254.267	4
Low Fat	FDV21	Snack Foods	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.170254	NULL	124.87	4
Low Fat	DRD25	Soft Drinks	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0785896	NULL	113.286	4
Low Fat	DRE25	Soft Drinks	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0729283	NULL	94.412	4
Low Fat	DRF36	Soft Drinks	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0234631	NULL	190.685	4
Low Fat	DRG13	Soft Drinks	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.0370061	NULL	164.753	4
Low Fat	DRK13	Soft Drinks	2018	OUT027	Tier 3	Medium	Supermarket Type3	0.11461	NULL	197.008	4
Low Fat	FDF32	Fruits and Vegetables	2014	OUT013	Tier 3	High	Supermarket Type1	0.0680243	16.35	196.443	4
Low Fat	NCS17	Health and Hygiene	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0808294	18.6	96.4436	4
Low Fat	FDK43	Meat	2014	OUT013	Tier 3	High	Supermarket Type1	0.0268184	9.8	126.002	4
Low Fat	FDM40	Frozen Foods	2014	OUT013	Tier 3	High	Supermarket Type1	0.159804	10.195	141.515	4
Low Fat	DRI49	Soft Drinks	2016	OUT046	Tier 1	Small	Supermarket Type1	0.183507	14.15	82.4276	4
Low Fat	FDS52	Frozen Foods	2011	OUT010	Tier 3	Small	Grocery Store	0.00916322	8.89	101.702	4
Low Fat	NCX54	Household	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0483317	9.195	105.162	4
Low Fat	NCO17	Health and Hygiene	2018	OUT019	Tier 1	Small	Grocery Store	0.128478	NULL	117.944	4
